ZipCode,Population,Number of Households,Median Income,Average Income
60601,14804,8787,123115,230208
60602,1142,581,235666,352103
60603,1275,734,114394,216301
60604,687,401,67938,141925
60605,32077,17467,112162,155935
60606,3298,2388,130196,184168
60607,29990,13169,109634,145285
60608,83689,27804,61490,79170
60609,61861,22402,43048,60982
60610,42422,24654,99246,158855
60611,34562,22394,117344,191960
60612,33908,13766,52126,88669
60613,53282,28334,88267,127926
60614,72119,33922,123610,204211
60615,41767,21709,51179,81579
60616,53085,24622,65489,90767
60617,84193,30141,46156,62788
60618,95078,36855,91650,130637
60619,63481,28030,43329,58574
60620,69357,25825,40117,56450
60626,50295,23272,51562,69948
60628,64489,23198,46665,61282
60621,26538,10783,24912,36579
60622,54650,24839,110694,155606
60623,77352,26225,35890,50576
60624,36986,13204,29102,44607
60625,80028,30888,76088,103314
60629,107487,33175,46217,64242
60630,55591,21358,84220,105080
60631,30589,12189,103588,125682
60632,87395,26080,48791,64340
60633,12674,5127,54074,65239
60634,77520,27567,75878,92533
60636,30412,11391,27831,45396
60637,49514,21450,31720,67493
60638,58959,20775,76258,90727
60639,89037,26363,53197,71940
60640,67936,36521,63660,88968
60641,71003,24917,72950,95832
60642,21374,10515,131201,152063
60643,49796,18075,73285,100865
60644,47630,17870,31816,46852
60645,48585,16806,63488,89528
60646,29326,10946,103913,151633
60647,85564,36880,89974,125881
60649,48973,23349,38026,56133
60651,64638,20564,44549,62979
60652,43485,13479,70766,81265
60653,34519,16925,34564,65751
60654,21859,14294,127072,190326
60655,28751,10730,105229,119464
60656,28665,12471,75006,93693
60657,72113,38263,98457,154425
60659,43729,13838,57077,82075
60660,44972,21179,56090,85478
60661,11073,6850,139063,167654
60666,12674,13204,56090,85478
60706,24272,9408,79138,98420
60707,41309,10051,68430,88341
60827,27946,26010,32801,49125
